712111908766097408,2016-03-22 03:01:24,RT @DwyaneWade: Slow news day huh..  https://t.co/Elgih94CWg,NO MEDIA
712068622353436673,2016-03-22 00:09:23,"RT @Independent: A £200m research vessel is set to be named RSS Boaty McBoatface, thanks to the internet https://t.co/3MpuzJObHK https://t.…",CeAL_6mWwAM0oMI.jpg
712068092428300288,2016-03-22 00:07:17,RT @Jarrettjack03: One thing I've thang I've learned is people from Cleveland really love their city,NO MEDIA
711987685179535360,2016-03-21 18:47:46,"RT @MLB: Hey guys, let's get the number of Official MLBlogs Twitter followers up WAY WAY WAY past 69...why are we stuck on that number? lol…",NO MEDIA
711987325962563586,2016-03-21 18:46:21,RT @MLB: omg i just realized my blog is in 3D ig u look at it thru a magnifying glass on blackberry - that was freaky,NO MEDIA
711987083074605057,2016-03-21 18:45:23,"RT @MLB: I just found out what ""meh"" is. I already knew what ""teh"" is. Should I be embarrassed? Did anyone else not know what ""meh"" is?",NO MEDIA
711986673056239617,2016-03-21 18:43:45,"RT @BleacherReport: Anthony Davis says he's played with torn labrum for 3 years, won’t play in the Olympics https://t.co/0USHFXwLDR https:/…",CeF0aLqWAAAakOA.jpg
711745372687732736,2016-03-21 02:44:55,RT @lukezim: https://t.co/nukzWIApN7,CeCghH8VAAA47Hy.jpg
711745280144646144,2016-03-21 02:44:33,RT @PriscoCBS: Good timeout by Gard,NO MEDIA
711745274784288768,2016-03-21 02:44:31,RT @PriscoCBS: Bad timeout  by Gard,NO MEDIA
711744446811901953,2016-03-21 02:41:14,WISCONSIN,NO MEDIA
711536582197514240,2016-03-20 12:55:15,@Brian_APTC Thanks Mr Lebo!,NO MEDIA
711384632365682688,2016-03-20 02:51:27,RT @memgrizz: #BeatBy50 https://t.co/mA0KdA2sQP,Cd9Wi9oW0AEpsYP.jpg
711216917915107328,2016-03-19 15:45:01,@TheWhiteyMoore  https://t.co/eRaCl5JJLe,NO MEDIA
711065050014855169,2016-03-19 05:41:33,"RT @DavidWorlock: That sets the record. 10 double-digit seeds (15,14,13,12,12,11,11,11,10,10) won 1st rd games, breaking the record of 9 se…",NO MEDIA
711045881647091712,2016-03-19 04:25:23,You've gotta be kidding me.,NO MEDIA
711044917196230657,2016-03-19 04:21:33,RT @barstooltweets: FROM HALFCOURT FTW #StopBracketSadness https://t.co/CWUq1NcaPU,NO MEDIA
710987205762613249,2016-03-19 00:32:14,RT @WORIDSTARHIPH0P: THIS IS AWESOME😂😤 https://t.co/9qHi4MT6Kq,4kvSaCOu3VQj9nU_.jpg
710985870300434433,2016-03-19 00:26:55,RT @cnnbrk: .@HulkHogan awarded $115 million in Gawker sex tape case. https://t.co/o3UOsMXiur https://t.co/lpElLSTvCU,Cd3cjoEWEAIldcM.jpg
710821513071599616,2016-03-18 13:33:49,RT @empireofthekop: Liverpool will face Borussia Dortmund in the Europa League Quarter Final.,NO MEDIA
710656513065525248,2016-03-18 02:38:10,"RT @World_Wide_Wob: After taunting Barnes, Henson is ejected -- BARNES CHASES AFTER HIM IN TUNNEL, Grizzlies staff cant hold him back

http…",y_2gq5a6Yj8WQESM.jpg
710655941725786112,2016-03-18 02:35:54,Coach Laps? Is that you? https://t.co/7WFNjSxVPG,NO MEDIA
710453485293182976,2016-03-17 13:11:25,RT @ChickfilA: Take a sip of our new #FrostedCoffee! ☕️🍦 https://t.co/Nlix83mzWF,CdwG_KBW4AAV3wL.jpg
710453437939503104,2016-03-17 13:11:13,"RT @CNN: Nike has unveiled the auto-lacing sneaker of your ""Back to the Future"" dreams: https://t.co/LA24a506rD https://t.co/CXoRUXkCCR",CdwGTyZXEAAuupN.jpg
710446411519795200,2016-03-17 12:43:18,RT @bustedcoverage: A BC St. Patrick's Day tradition...leprechaun in a Mobile tree...posted 10 years ago today https://t.co/uvgxQCiLwK,WG7pFSQHRJlHqznv.jpg
710215484701077504,2016-03-16 21:25:41,"RT @Complex_Sports: Luis Suarez 🔥

Barça just messing with them now. https://t.co/9Gnd6hPfr6",CdsuQseXEAAOqcQ.jpg
710205301463633920,2016-03-16 20:45:13,"RT @World_Wide_Wob: What a friggin goal by Juventus, wow https://t.co/zAk8UFFmPQ",LcrjtpLz13NVZqSO.jpg
710150153651486721,2016-03-16 17:06:05,wut x2 https://t.co/HWGh0Jdwxg,NO MEDIA
710150096751558656,2016-03-16 17:05:51,wut  https://t.co/NYVk47zqfz,NO MEDIA
710147285154459648,2016-03-16 16:54:41,"RT @700wlw: REPORT: Polar bear loose at @CincinnatiZoo, park visitors told to stay indoors.",NO MEDIA
710100825226530816,2016-03-16 13:50:04,RT @RapSheet: #Browns land on the other side of free agency  https://t.co/8r3i1NUkyF,NO MEDIA
709955205543161856,2016-03-16 04:11:25,RT @AP: BREAKING: North Korea's highest court sentences US tourist who allegedly attempted to steal a propaganda banner to 15 years of hard…,NO MEDIA
709906779128401920,2016-03-16 00:59:00,RT @CNN: CNN projects John Kasich will win the Ohio primary #SuperTuesday #PrimaryDay https://t.co/SzIjJeibRG https://t.co/2TubF2byED,CdoVzgmW4AAFvja.jpg
709851420531531777,2016-03-15 21:19:01,RT @SpearsNBAYahoo: Hey @StephenCurry30 isn't the only one that can hit the hallway shot. Check out @kporzee #nba #knicks #Warriors https:/…,0gaHpYbVttHrwvGl.jpg
709834644087242753,2016-03-15 20:12:21,"RT @Local12: .@uofcincy professor arrested on child pornography charges. 
https://t.co/JBKR72TFw1",NO MEDIA
709748599924588545,2016-03-15 14:30:27,"RT @markomlor: At long last, I present to you:
THE Judgmental Map of Clifton. https://t.co/PRnAPZ7jpG",CdjrUOcXIAEaZpy.jpg
709722387965734912,2016-03-15 12:46:17,When you're registered as an independent and can't vote in primaries &lt;&lt;&lt;&lt;&lt;&lt;,NO MEDIA
709583320372387840,2016-03-15 03:33:41,"RT @ProFootballTalk: DePodesta says he's heard other team officials mock him, Browns https://t.co/KrZGxpHHBH",NO MEDIA
709412938185105409,2016-03-14 16:16:39,Why are you making me want to vote for Trump https://t.co/RGlBBln3jA,NO MEDIA
709407973181935616,2016-03-14 15:56:55,"March Madness brackets are out and I have 550 free prints left in the engineering lab.

Sorry environment.",NO MEDIA
709371304978288640,2016-03-14 13:31:13,"RT @Deadspin: Whoever leaked the NCAA tournament bracket, thank you. https://t.co/0qRFONjOqA",NO MEDIA
709360211635654656,2016-03-14 12:47:08,"""It's been a long day""

""It's not even 9 am""",NO MEDIA
709204765180211200,2016-03-14 02:29:27,RT @SportsCenter: Greek Freak is on a tear! Antetokounmpo records his 4th triple-double since All-Star break in Bucks' 109-100 win. https:/…,CdeZdekWEAAW_Tj.jpg
709169505675694080,2016-03-14 00:09:20,I think you're forgetting some guy named Hitler https://t.co/pQyDze6qJD,NO MEDIA
709139823903244293,2016-03-13 22:11:23,RT @BearcatsRuckus: #BeatStJoes,NO MEDIA
